GBOV_ID,Site,GROUND_DATA_PI,GROUND_DATA_PIs_Email,GBOV_Email,Network,Elevation,IGBP_class,latitude,longitude,system:time_start,Version,PLOT_ID,LAIe_Miller_up,LAIe_Miller_up_err,LAI_Miller_up,LAI_Miller_up_err,clumping_Miller_up,clumping_Miller_up_err,LAIe_Warren_up,LAIe_Warren_up_err,LAI_Warren_up,LAI_Warren_up_err,clumping_Warren_up,clumping_Warren_up_err,LAIe_Miller_down,LAIe_Miller_down_err,LAI_Miller_down,LAI_Miller_down_err,clumping_Miller_down,clumping_Miller_down_err,LAIe_Warren_down,LAIe_Warren_down_err,LAI_Warren_down,LAI_Warren_down_err,clumping_Warren_down,clumping_Warren_down_err,up_flag,down_flag
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1430697600000.0,2.0,SERC_054,3.09,0.10,4.23,0.12,0.729,0.030,2.33,0.12,3.20,0.13,0.73,0.05,0.158,0.013,0.171,0.015,0.93,0.11,0.168,0.024,0.180,0.028,0.93,0.20,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1431907200000.0,2.0,SERC_054,4.13,0.11,5.53,0.14,0.747,0.028,3.09,0.16,4.31,0.16,0.72,0.05,0.46,0.04,0.61,0.08,0.76,0.13,0.42,0.07,0.52,0.11,0.81,0.21,0,16
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1433203200000.0,2.0,SERC_054,4.50,0.12,5.79,0.14,0.777,0.028,3.62,0.16,4.74,0.16,0.76,0.04,0.320,0.023,0.355,0.027,0.90,0.09,0.244,0.032,0.26,0.04,0.93,0.18,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1434326400000.0,2.0,SERC_054,4.57,0.12,5.86,0.14,0.779,0.027,3.53,0.15,4.76,0.15,0.74,0.04,0.171,0.012,0.189,0.015,0.91,0.10,0.187,0.026,0.22,0.04,0.87,0.19,8,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1435536000000.0,2.0,SERC_054,1.76,0.07,2.11,0.19,0.83,0.08,1.16,0.10,1.43,0.31,0.81,0.19,0.729,0.019,0.739,0.020,0.99,0.04,0.535,0.021,0.544,0.023,0.98,0.06,8,32
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1436745600000.0,2.0,SERC_054,4.42,0.11,5.75,0.14,0.769,0.027,3.55,0.16,4.85,0.15,0.73,0.04,0.196,0.018,0.221,0.022,0.89,0.12,0.212,0.033,0.23,0.04,0.90,0.21,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1437955200000.0,2.0,SERC_054,4.34,0.29,6.18,0.22,0.70,0.05,3.1,0.5,4.57,0.33,0.67,0.12,0.349,0.015,0.370,0.017,0.94,0.06,0.355,0.023,0.380,0.029,0.93,0.09,0,16
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1439251200000.0,2.0,SERC_054,5.11,0.14,6.83,0.16,0.748,0.027,4.09,0.21,5.69,0.16,0.72,0.04,0.387,0.023,0.414,0.028,0.93,0.08,0.34,0.04,0.37,0.05,0.91,0.16,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1440374400000.0,2.0,SERC_054,1.48,0.04,1.51,0.04,0.975,0.035,1.00,0.05,1.04,0.05,0.96,0.07,0.553,0.025,0.592,0.029,0.93,0.06,0.50,0.04,0.53,0.05,0.94,0.11,8,16
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1441670400000.0,2.0,SERC_054,5.08,0.13,6.46,0.16,0.786,0.028,3.68,0.14,4.68,0.15,0.79,0.04,0.737,0.018,0.749,0.019,0.985,0.035,0.562,0.020,0.574,0.022,0.98,0.05,0,8
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1442793600000.0,2.0,SERC_054,4.25,0.25,5.83,0.21,0.73,0.05,3.3,0.5,4.67,0.33,0.70,0.12,0.512,0.016,0.521,0.017,0.98,0.04,0.408,0.021,0.416,0.022,0.98,0.07,8,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1444176000000.0,2.0,SERC_054,4.69,0.12,6.02,0.15,0.779,0.028,3.40,0.14,4.47,0.16,0.76,0.04,0.667,0.020,0.683,0.022,0.98,0.04,0.497,0.025,0.505,0.026,0.98,0.07,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1445385600000.0,2.0,SERC_054,1.57,0.06,1.88,0.16,0.84,0.08,1.03,0.09,1.23,0.22,0.84,0.17,0.239,0.012,0.250,0.014,0.96,0.07,0.211,0.021,0.222,0.026,0.95,0.15,8,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1446595200000.0,2.0,SERC_054,2.01,0.08,2.42,0.11,0.83,0.05,1.50,0.13,1.81,0.20,0.82,0.11,0.0158,0.0023,0.0167,0.0026,0.95,0.20,0.0146,0.0033,0.0149,0.0034,0.98,0.32,8,0
